key,ra,dec,tyc,hip,gaia_dr1,gaia_dr2
HIP61684,189.678234410443,-68.7636446154124,9228-2369-1,61684,5855753394847328128,5855753399177548416
HIP61782,189.942483083618,-49.1987645178522,8240-1290-1,61782,,6127782196588876160
HIP61960,190.471069917884,10.2356191902439,878-1102-1,61960,,3903402278745164672
HIP62134,191.008061978435,-53.5057206582294,8647-613-1,62134,,6075075594872297216
HIP62403,191.829155234374,-66.2374486339644,9000-155-1,62403,,5861438114844805248
HIP62482,192.069445527854,-67.1312115014705,9000-2556-1,62482,5858152185620231936,5858152189941308544
HIP62657,192.582159252131,-49.8635999180213,8253-725-1,62657,,6079490168425944448
HIP63236,194.359115105951,-67.9607031626712,9241-1205-1,63236,5857261546840808320,5857261551179958016
HIP63439,194.999507459699,-50.3895796548851,8254-190-1,63439,,6084425360726815360
HIP63734,195.912541759864,-16.3365751323454,6112-397-1,63734,3512153293772760576,3512153298068184448
HIP63836,196.247686698567,-47.3968166864471,8250-1448-1,63836,,6086135822861167872
HIP63862,196.320027815984,-50.8566160070808,8258-871-1,63862,,6081255159466938752
HIP63905,196.442570792897,-18.8258563991662,6115-1354-1,63905,,3510647723052100864
HIP64184,197.317467994762,-60.3083480258635,8990-1653-1,64184,,6055854551117476480
HIP64822,199.308066628689,-43.9795062070105,7786-2676-1,64822,,6136301865511398016
HIP64995,199.831419912319,-59.4723445582131,8661-1329-1,64995,,6061991269115435136
HIP65089,200.111717640527,-49.2236694103374,8256-306-1,65089,,6083262244920009088
HIP65109,200.149220062999,-36.7123045812195,7275-2074-1,65109,,6165699748415726848
HIP65198,200.423520788415,2.0872386369205,300-1264-1,65198,,3712388075021715840
HIP65208,200.457317471264,-36.1122395873591,7276-576-1,65208,,6166285788114638720
HIP65875,202.537393994412,-58.4845429471884,8674-556-1,65875,5870290793989676544,5870290798365685248
HIP65965,202.879034102412,-46.7352359366136,8261-1660-1,65965,,6084120933444617216
HIP66065,203.149575370278,-28.6927686973217,6726-1943-1,66065,,6188121195688828032
