,S_Type,Distance_distance,FLUX_I,FLUX_H,Fe_H_Teff,Class,subtype,Mbol,Lum,Teff,Mass
217,K3V,11.186,,4.440999984741211,4925,K,3,5.82,0.36982817978026616,4760.0,0.7155
218,G8V,36.5091,,6.331999778747559,5746,G,8,5.09,0.7244359600749902,5370.0,0.829
219,K2VCN+1,33.684,,6.625999927520753,0,K,2,5.62,0.4446312674691087,4930.0,0.738
220,A5III,48.4013,5.059999942779541,4.9710001945495605,0,A,5,2.1149999999999998,11.220184543019641,8410.0,1.725
221,F0IV,48.801,,5.208000183105469,7852,F,0,2.95,5.199959965335161,7420.0,1.4
222,G8V,37.8807,,6.671000003814697,5529,G,8,5.09,0.7244359600749902,5370.0,0.829
223,K2V,27.3823,7.703000068664551,6.541999816894531,5100,K,2,5.62,0.4446312674691087,4930.0,0.738
224,A1III-,,1.6100000143051147,1.5700000524520874,8866,A,1,1.44,20.892961308540407,9370.0,2.005
225,G0,71.9031,,7.302000045776367,6319,G,0,4.33,1.4588142602753487,5950.0,1.04
226,K0V,38.2085,7.943999767303468,,5089,K,0,5.31,0.5915616341754742,5200.0,0.781
228,K1Vp,18.2899,6.815000057220459,5.5960001945495605,5062,K,1,5.465,0.512861383991365,5065.0,0.7595000000000001
229,F9VFe+0.5,27.6123,,,5992,F,9,4.225,1.6069412530128782,6050.0,1.065
230,G3V,54.5977,,7.052999973297119,0,G,3,4.625,1.1117317272815914,5705.0,0.9595
231,F7V,71.0535,,7.431000232696532,0,F,7,3.99,1.9952623149688797,6275.0,1.125
232,G2V,64.098,,7.241000175476074,0,G,2,4.54,1.2022644346174132,5770.0,0.986
233,F5V,90.5485,,7.679999828338622,0,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
234,F7V,71.6096,,7.322999954223633,0,F,7,3.99,1.9952623149688797,6275.0,1.125
235,G3V,43.7004,,5.980000019073486,0,G,3,4.625,1.1117317272815914,5705.0,0.9595
236,G1V,43.695,,5.9000000953674325,0,G,1,4.4350000000000005,1.3243415351946644,5860.0,1.013
237,G5V,45.2345,,6.901999950408936,5784,G,5,4.805,0.9418895965228418,5575.0,0.906
238,G0,64.0726,,7.633999824523926,0,G,0,4.33,1.4588142602753487,5950.0,1.04
239,F5V,47.2137,5.800000190734862,5.179999828338623,6473,F,5,3.7199999999999998,2.558585886905647,6545.0,1.1949999999999998
240,A4V,65.2443,,5.677000045776367,0,A,4,1.95,13.061708881318419,8620.0,1.79
241,A8III,76.3691,,6.436999797821045,0,A,8,2.61,7.112135136533293,7800.0,1.53
242,M2V,7.7048,7.065999984741211,5.257999897003174,3651,M,2,8.69,0.02630267991895383,3400.0,0.262
243,K3Ve,53.3504,8.687000274658201,7.353000164031982,4834,K,3,5.82,0.36982817978026616,4760.0,0.7155
244,G0V,22.4424,,5.063000202178955,6004,G,0,4.33,1.4588142602753487,5950.0,1.04
